YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1989,First Round,14,Creighton,69,3,Missouri,85,-16,LOSS
1989,Second Round,13,Middle Tennessee State,88,5,Virginia,104,-16,LOSS
1989,First Round,8,Vanderbilt,65,9,Notre Dame,81,-16,LOSS
1989,First Round,12,South Carolina,66,5,North Carolina State,81,-15,LOSS
1989,Sweet 16,4,Louisville,69,1,Illinois,83,-14,LOSS
1989,First Round,4,Florida State,83,13,Middle Tennessee State,97,-14,LOSS
1989,First Round,6,Kansas State,75,11,Minnesota,86,-11,LOSS
1989,First Round,10,Iowa State,74,7,UCLA,84,-10,LOSS
1989,Second Round,5,Arkansas,84,4,Louisville,93,-9,LOSS
1989,Second Round,7,UCLA,81,2,North Carolina,88,-7,LOSS
1989,Second Round,9,Notre Dame,74,1,Georgetown,81,-7,LOSS
1989,Second Round,7,West Virginia,63,2,Duke,70,-7,LOSS
1989,Sweet 16,2,North Carolina,87,3,Michigan,92,-5,LOSS
1989,First Round,14,Xavier,87,3,Michigan,92,-5,LOSS
1989,First Round,12,Providence,97,5,Virginia,100,-3,LOSS
1989,First Round,16,East Tennessee State,71,1,Oklahoma,72,-1,LOSS
1989,National Championship,3,Seton Hall,79,3,Michigan,80,-1,LOSS
1989,First Round,16,Princeton,49,1,Georgetown,50,-1,LOSS
1989,Sweet 16,1,Arizona,67,4,UNLV,68,-1,LOSS
1989,National Championship,3,Michigan,80,3,Seton Hall,79,1,WIN
1989,Final Four,3,Michigan,83,1,Illinois,81,2,WIN
1989,First Round,5,Virginia,100,12,Providence,97,3,WIN
1989,Sweet 16,3,Michigan,92,2,North Carolina,87,5,WIN
1989,First Round,3,Michigan,92,14,Xavier,87,5,WIN
1989,First Round,4,Louisville,76,13,Arkansas-Little Rock,71,5,WIN
1989,Sweet 16,5,Virginia,86,1,Oklahoma,80,6,WIN
1989,Second Round,2,Duke,70,7,West Virginia,63,7,WIN
1989,Second Round,2,North Carolina,88,7,UCLA,81,7,WIN
1989,Elite Eight,2,Duke,85,1,Georgetown,77,8,WIN
1989,Second Round,3,Michigan,91,11,South Alabama,82,9,WIN
1989,Second Round,4,Louisville,93,5,Arkansas,84,9,WIN
1989,First Round,3,Seton Hall,60,14,Missouri State,51,9,WIN
1989,First Round,7,UCLA,84,10,Iowa State,74,10,WIN
1989,First Round,11,Minnesota,86,6,Kansas State,75,11,WIN
1989,Sweet 16,3,Seton Hall,78,2,Indiana,65,13,WIN
1989,Second Round,11,Minnesota,80,14,Siena,67,13,WIN
1989,First Round,2,North Carolina,93,15,Southern,79,14,WIN
1989,Second Round,3,Seton Hall,87,11,Evansville,73,14,WIN
1989,First Round,13,Middle Tennessee State,97,4,Florida State,83,14,WIN
1989,Second Round,5,Virginia,104,13,Middle Tennessee State,88,16,WIN
1989,First Round,9,Notre Dame,81,8,Vanderbilt,65,16,WIN
1989,First Round,7,West Virginia,84,10,Tennessee,68,16,WIN
1989,Sweet 16,2,Duke,87,11,Minnesota,70,17,WIN
1989,Final Four,3,Seton Hall,95,2,Duke,78,17,WIN
1989,First Round,5,Arkansas,120,12,Loyola Marymount,101,19,WIN
1989,First Round,2,Duke,90,15,South Carolina State,69,21,WIN
1989,Elite Eight,3,Seton Hall,84,4,UNLV,61,23,WIN
1989,Second Round,1,Arizona,94,9,Clemson,68,26,WIN
1989,First Round,1,Arizona,94,16,Robert Morris,60,34,WIN
1989,Elite Eight,3,Michigan,102,5,Virginia,65,37,WIN
1990,Second Round,3,Michigan,115,11,Loyola Marymount,149,-34,LOSS
1990,National Championship,3,Duke,73,1,UNLV,103,-30,LOSS
1990,Sweet 16,8,North Carolina,73,4,Arkansas,96,-23,LOSS
1990,Second Round,2,Arizona,55,7,Alabama,77,-22,LOSS
1990,First Round,6,New Mexico State,92,11,Loyola Marymount,111,-19,LOSS
1990,First Round,14,Texas Southern,52,3,Georgetown,70,-18,LOSS
1990,First Round,13,East Tennessee State,83,4,Georgia Tech,99,-16,LOSS
1990,Final Four,4,Arkansas,83,3,Duke,97,-14,LOSS
1990,Sweet 16,6,Xavier,89,10,Texas,102,-13,LOSS
1990,Sweet 16,7,UCLA,81,3,Duke,90,-9,LOSS
1990,First Round,11,Kansas State,79,6,Xavier,87,-8,LOSS
1990,First Round,10,Notre Dame,67,7,Virginia,75,-8,LOSS
1990,First Round,12,Villanova,63,5,LSU,70,-7,LOSS
1990,First Round,13,Princeton,64,4,Arkansas,68,-4,LOSS
1990,Second Round,7,Virginia,61,2,Syracuse,63,-2,LOSS
1990,Second Round,4,Louisville,60,12,Ball State,62,-2,LOSS
1990,Elite Eight,6,Minnesota,91,4,Georgia Tech,93,-2,LOSS
1990,Second Round,12,Dayton,84,4,Arkansas,86,-2,LOSS
1990,First Round,9,Providence,83,8,Ohio State,84,-1,LOSS
1990,Second Round,2,Kansas,70,7,UCLA,71,-1,LOSS
1990,Sweet 16,1,Michigan State,80,4,Georgia Tech,81,-1,LOSS
1990,Second Round,2,Purdue,72,10,Texas,73,-1,LOSS
1990,Elite Eight,3,Duke,79,1,Connecticut,78,1,WIN
1990,Second Round,7,UCLA,71,2,Kansas,70,1,WIN
1990,Second Round,8,North Carolina,79,1,Oklahoma,77,2,WIN
1990,Second Round,4,Arkansas,86,12,Dayton,84,2,WIN
1990,First Round,12,Dayton,88,5,Illinois,86,2,WIN
1990,Elite Eight,4,Arkansas,88,10,Texas,85,3,WIN
1990,Second Round,6,Minnesota,81,14,Northern Iowa,78,3,WIN
1990,First Round,6,Minnesota,64,11,UTEP,61,3,WIN
1990,Second Round,6,Xavier,74,3,Georgetown,71,3,WIN
1990,Second Round,3,Duke,76,6,St. John's,72,4,WIN
1990,Second Round,1,Michigan State,62,9,UC Santa Barbara,58,4,WIN
1990,First Round,1,Michigan State,75,16,Murray St.,71,4,WIN
1990,First Round,4,Arkansas,68,13,Princeton,64,4,WIN
1990,First Round,3,Michigan,76,14,Illinois State,70,6,WIN
1990,Sweet 16,6,Minnesota,82,2,Syracuse,75,7,WIN
1990,First Round,7,Virginia,75,10,Notre Dame,67,8,WIN
1990,First Round,2,Kansas,79,15,Robert Morris,71,8,WIN
1990,First Round,6,Xavier,87,11,Kansas State,79,8,WIN
1990,Sweet 16,3,Duke,90,7,UCLA,81,9,WIN
1990,First Round,2,Purdue,75,15,Louisiana-Monroe,63,12,WIN
1990,First Round,7,UCLA,68,10,Alabama-Birmingham,56,12,WIN
1990,First Round,2,Arizona,79,15,South Florida,67,12,WIN
1990,First Round,8,North Carolina,83,9,Missouri State,70,13,WIN
1990,Final Four,3,Duke,97,4,Arkansas,83,14,WIN
1990,First Round,4,Louisville,78,13,Idaho,59,19,WIN
1990,Sweet 16,4,Arkansas,96,8,North Carolina,73,23,WIN
1990,First Round,3,Duke,81,14,Richmond,46,35,WIN
1991,Second Round,7,Florida State,60,2,Indiana,82,-22,LOSS
1991,First Round,5,Mississippi State,56,12,Eastern Michigan,76,-20,LOSS
1991,First Round,7,Purdue,63,10,Temple,80,-17,LOSS
1991,Second Round,14,Xavier,50,11,Connecticut,66,-16,LOSS
1991,Second Round,9,Villanova,69,1,North Carolina,84,-15,LOSS
1991,First Round,7,Virginia,48,10,Brigham Young,61,-13,LOSS
1991,Second Round,11,Creighton,69,3,Seton Hall,81,-12,LOSS
1991,Elite Eight,1,Arkansas,81,3,Kansas,93,-12,LOSS
1991,Elite Eight,3,Seton Hall,65,1,UNLV,77,-12,LOSS
1991,First Round,9,Vanderbilt,60,8,Georgetown,70,-10,LOSS
