2000,5,5,0,71,8,0,59,12,WIN
2006,5,3,0,73,11,0,58,15,WIN
2007,5,1,0,76,2,0,66,10,WIN
1989,1,7,0,46,10,0,68,-22,LOSS
1995,1,10,0,61,7,0,64,-3,LOSS
2002,1,5,0,82,12,0,83,-1,LOSS
2004,1,5,0,60,12,0,75,-15,LOSS
2010,1,10,0,92,7,0,99,-7,LOSS
1987,1,6,0,82,11,0,70,12,WIN
1988,1,6,0,62,11,0,59,3,WIN
1994,1,3,0,64,14,0,62,2,WIN
1999,1,6,0,75,11,0,61,14,WIN
2000,1,5,0,69,12,0,68,1,WIN
2001,1,3,0,69,14,0,56,13,WIN
2003,1,2,0,85,15,0,55,30,WIN
2005,1,4,0,67,13,0,62,5,WIN
2006,1,3,0,76,14,0,50,26,WIN
2007,1,1,0,112,16,0,69,43,WIN
2011,1,2,0,79,15,0,51,28,WIN
2012,1,7,0,71,10,0,45,26,WIN
2013,1,3,0,79,14,0,47,32,WIN
2014,1,1,0,67,16,0,55,12,WIN
2000,6,5,0,76,1,0,89,-13,LOSS
2006,6,3,0,73,2,0,57,16,WIN
2007,6,1,0,84,1,0,75,9,WIN
1988,2,6,0,85,3,0,108,-23,LOSS
2001,2,3,0,54,11,0,75,-21,LOSS
2003,2,2,0,46,7,0,68,-22,LOSS
2005,2,4,0,65,5,0,76,-11,LOSS
1987,2,6,0,85,3,0,66,19,WIN
1994,2,3,0,70,11,0,58,12,WIN
1999,2,6,0,82,14,0,74,8,WIN
2000,2,5,0,93,4,0,76,17,WIN
2006,2,3,0,82,11,0,60,22,WIN
2007,2,1,0,74,9,0,67,7,WIN
2011,2,2,0,73,7,0,65,8,WIN
2012,2,7,0,84,15,0,50,34,WIN
2013,2,3,0,78,11,0,64,14,WIN
2014,2,1,0,61,9,0,45,16,WIN
1987,3,6,0,81,2,0,87,-6,LOSS
1999,3,6,0,72,10,0,73,-1,LOSS
1994,3,3,0,69,2,0,60,9,WIN
2000,3,5,0,87,1,0,78,9,WIN
2006,3,3,0,57,7,0,53,4,WIN
2007,3,1,0,65,5,0,57,8,WIN
2011,3,2,0,83,3,0,74,9,WIN
2012,3,7,0,68,3,0,58,10,WIN
2013,3,3,0,62,15,0,50,12,WIN
2014,3,1,0,79,4,0,68,11,WIN
2016,1,16,0,67,1,0,83,-16,LOSS
2013,1,15,0,78,2,0,68,10,WIN
2016,0,16,0,96,16,0,65,31,WIN
2013,2,15,0,81,7,0,71,10,WIN
2013,3,15,0,50,3,0,62,-12,LOSS
1993,4,3,0,81,1,0,106,-25,LOSS
1988,1,12,0,98,5,0,102,-4,LOSS
1989,1,4,0,83,13,0,97,-14,LOSS
2009,1,5,0,59,12,0,61,-2,LOSS
2010,1,9,0,60,8,0,67,-7,LOSS
1991,1,7,0,75,10,0,72,3,WIN
1992,1,3,0,78,14,0,68,10,WIN
1993,1,3,0,82,14,0,70,12,WIN
1998,1,12,0,96,5,0,87,9,WIN
2011,1,10,0,57,7,0,50,7,WIN
2012,1,3,0,66,14,0,63,3,WIN
1991,2,7,0,60,2,0,82,-22,LOSS
1998,2,12,0,77,13,0,83,-6,LOSS
2012,2,3,0,56,6,0,62,-6,LOSS
1992,2,3,0,78,6,0,68,10,WIN
1993,2,3,0,94,11,0,63,31,WIN
2011,2,10,0,71,2,0,57,14,WIN
1992,3,3,0,74,2,0,85,-11,LOSS
2011,3,10,0,71,11,0,72,-1,LOSS
1993,3,3,0,81,7,0,78,3,WIN
1999,4,10,0,62,1,0,67,-5,LOSS
2015,4,2,0,52,1,0,66,-14,LOSS
1995,1,14,0,63,3,0,87,-24,LOSS
2002,1,6,0,66,11,0,73,-7,LOSS
2007,1,10,0,57,7,0,70,-13,LOSS
2008,1,7,0,76,10,0,82,-6,LOSS
1999,1,10,0,75,7,0,63,12,WIN
2000,1,10,0,77,7,0,66,11,WIN
